SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property Zip Code,County Name,Verified Loss Real Estate,Verified Loss Content,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State Name
11430,11431.0,TX-00308,77707.0,JEFFERSON,2002121.0,103783.0,1402900.0,13000.0,60800.0,2008,TEXAS
11430,11431.0,TX-00308,77708.0,JEFFERSON,146879.0,13344.0,107800.0,6400.0,14200.0,2008,TEXAS
11430,11431.0,TX-00308,77711.0,JEFFERSON,7691.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77713.0,JEFFERSON,165833.0,1900.0,10600.0,1400.0,5000.0,2008,TEXAS
11430,11431.0,TX-00308,77713.0,JEFFERSON,0.0,0.0,0.0,0.0,65200.0,2008,TEXAS
11430,11431.0,TX-00308,77702.0,JEFFERSON,6857.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77706.0,JEFFERSON,23727.0,109578.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77703.0,ORANGE,0.0,0.0,0.0,0.0,154000.0,2008,TEXAS
11430,11431.0,TX-00308,77401.0,HARRIS,1811247.0,161329.0,1104400.0,137700.0,17400.0,2008,TEXAS
11430,11431.0,TX-00308,77422.0,BRAZORIA,446224.0,17260.0,190900.0,0.0,33200.0,2008,TEXAS
11430,11431.0,TX-00308,77833.0,WASHINGTON,11762.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77833.0,WASHINGTON,0.0,0.0,0.0,0.0,82700.0,2008,TEXAS
11430,11431.0,TX-00308,77611.0,JEFFERSON,1062.0,54325.0,1100.0,54300.0,5600.0,2008,TEXAS
11430,11431.0,TX-00308,76111.0,ORANGE,29812.0,49325.0,29900.0,49300.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77611.0,ORANGE,11378256.0,2559464.0,4431600.0,675700.0,248600.0,2008,TEXAS
11430,11431.0,TX-00308,77631.0,ORANGE,336890.0,5400.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,75929.0,SAN AUGUSTINE,61607.0,3375.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,75931.0,JASPER,354.0,571.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77581.0,BRAZORIA,0.0,3800.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77801.0,BRAZOS,21745.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77612.0,JASPER,15589.0,2373.0,11700.0,2300.0,400.0,2008,TEXAS
